Gender,Race,Year,yrs_lost
Female,Black,1999,991.6788013697833
Female,Black,2000,995.742092347929
Female,Black,2001,971.1918884956257
Female,Black,2002,1011.2802603330507
Female,Black,2003,1041.9045953041734
Female,Black,2004,1030.8539877284727
Female,Black,2005,964.5413186762128
Female,Black,2006,908.3985520002099
Female,Black,2007,895.9577882492654
Female,Black,2008,940.4284834668485
Female,Black,2009,917.4286337945729
Female,Black,2010,882.2118831885371
Female,Black,2011,831.7970048205866
Female,Black,2012,838.3583718988972
Female,Black,2013,857.4566524636176
Female,Black,2014,858.1211803842446
Female,Black,2015,858.7979717721045
Female,Black,2016,870.931347752351
Female,Black,2017,886.4478501509374
Female,Black,2018,895.2498386151644
Female,Black,2019,915.089209819641
Female,Black,2020,1080.2282096311665
Female,White,1999,192.09128074006458
Female,White,2000,195.00293931822443
Female,White,2001,203.90440751194834
Female,White,2002,212.41220460729568
Female,White,2003,225.5680047508702
Female,White,2004,225.8307223613349
Female,White,2005,215.36550219643883
Female,White,2006,215.44336196079334
Female,White,2007,218.62682745038924
Female,White,2008,218.8917568088326
Female,White,2009,224.34759131572287
Female,White,2010,222.10331317807433
Female,White,2011,225.15462658162195
Female,White,2012,222.6582833485021
Female,White,2013,240.00399320290904
Female,White,2014,248.2693976203333
Female,White,2015,267.3338414287315
Female,White,2016,279.06288741466176
Female,White,2017,298.3554245865953
Female,White,2018,308.65253162065306
Female,White,2019,336.51736785065464
Female,White,2020,369.69663732530967
Male,Black,1999,1138.6156611538174
Male,Black,2000,1131.2303034447248
Male,Black,2001,1139.9589339002505
Male,Black,2002,1232.0308253621722
Male,Black,2003,1247.0522752271636
Male,Black,2004,1318.6156099852592
Male,Black,2005,1262.7024206105368
Male,Black,2006,1272.178966453272
Male,Black,2007,1250.5873896185701
Male,Black,2008,1263.7519445908817
Male,Black,2009,1285.192338477278
Male,Black,2010,1242.1914531613832
Male,Black,2011,1204.6637857278413
Male,Black,2012,1249.6584569519453
Male,Black,2013,1271.2811559839445
Male,Black,2014,1266.1272702652786
Male,Black,2015,1284.8963850356956
Male,Black,2016,1373.3773708158706
Male,Black,2017,1327.9658182409821
Male,Black,2018,1401.5966403823945
Male,Black,2019,1435.5147744338874
Male,Black,2020,1671.3605093398116
Male,White,1999,221.05017469441844
Male,White,2000,232.48208702741098
Male,White,2001,240.90392676925143
Male,White,2002,261.44477564045496
Male,White,2003,283.8783536594126
Male,White,2004,292.98227582590226
Male,White,2005,286.5971522282147
Male,White,2006,292.3523396599762
Male,White,2007,294.02474430202324
Male,White,2008,310.47894622380096
Male,White,2009,317.07618626764173
Male,White,2010,317.24674606227364
Male,White,2011,328.0312839515342
Male,White,2012,334.0090804358264
Male,White,2013,355.1290351831481
Male,White,2014,373.5456725319559
Male,White,2015,388.1940452689813
Male,White,2016,414.1305544107806
Male,White,2017,433.2179165591821
Male,White,2018,463.56093748223515
Male,White,2019,500.9927151387962
Male,White,2020,552.215744487255
